rep	ct0	ct1	ct2	ct3	ct4	selected	convergent	rel_conv
1	5525	65	3	0	0	68	3	0.04411764705882353
10	5534	49	4	0	0	53	4	0.07547169811320754
100	5509	64	0	0	0	64	0	0
1000	5564	44	2	0	0	46	2	0.043478260869565216
10000	5503	51	3	0	0	54	3	0.05555555555555555
1001	5503	56	3	0	0	59	3	0.05084745762711865
1002	5535	50	1	0	0	51	1	0.0196078431372549
1003	5573	51	1	0	0	52	1	0.019230769230769232
1004	5558	52	2	0	0	54	2	0.037037037037037035
1005	5550	64	1	0	0	65	1	0.015384615384615385
1006	5566	58	2	1	0	61	3	0.04918032786885246
1007	5534	63	4	0	0	67	4	0.05970149253731343
1008	5486	55	1	1	0	57	2	0.03508771929824561
1009	5496	48	1	0	0	49	1	0.02040816326530612
101	5554	61	1	0	0	62	1	0.016129032258064516
1010	5506	60	2	0	0	62	2	0.03225806451612903
1011	5535	49	0	0	0	49	0	0
1012	5532	51	3	0	0	54	3	0.05555555555555555
1013	5508	57	2	0	0	59	2	0.03389830508474576
1014	5552	66	0	0	0	66	0	0
1015	5539	40	1	0	0	41	1	0.024390243902439025
1016	5554	46	4	0	0	50	4	0.08
1017	5513	69	0	0	0	69	0	0
1018	5525	70	4	0	0	74	4	0.05405405405405406
1019	5547	52	2	0	0	54	2	0.037037037037037035
102	5537	62	2	0	0	64	2	0.03125
1020	5546	54	2	0	0	56	2	0.03571428571428571
1021	5550	61	0	0	0	61	0	0
1022	5495	56	1	0	0	57	1	0.017543859649122806
1023	5542	43	1	0	0	44	1	0.022727272727272728
1024	5572	58	2	0	0	60	2	0.03333333333333333
1025	5508	55	3	0	0	58	3	0.05172413793103448
1026	5510	64	1	0	0	65	1	0.015384615384615385
1027	5560	72	1	0	0	73	1	0.0136986301369863
1028	5497	55	2	0	0	57	2	0.03508771929824561
1029	5521	57	1	0	0	58	1	0.017241379310344827
103	5501	54	0	0	0	54	0	0
1030	5546	49	5	1	0	55	6	0.10909090909090909
1031	5527	50	1	0	0	51	1	0.0196078431372549
1032	5560	49	0	0	0	49	0	0
1033	5590	61	1	0	0	62	1	0.016129032258064516
1034	5535	52	3	0	0	55	3	0.05454545454545454
1035	5508	61	3	0	0	64	3	0.046875
1036	5534	56	2	0	0	58	2	0.034482758620689655
1037	5546	48	2	0	0	50	2	0.04
1038	5462	57	1	0	0	58	1	0.017241379310344827
1039	5526	62	1	0	0	63	1	0.015873015873015872
104	5517	60	2	0	0	62	2	0.03225806451612903
1040	5537	56	4	0	0	60	4	0.06666666666666667
1041	5531	61	3	0	0	64	3	0.046875
1042	5509	57	1	0	0	58	1	0.017241379310344827
1043	5575	60	1	0	0	61	1	0.01639344262295082
1044	5552	52	1	1	0	54	2	0.037037037037037035
1045	5540	46	1	0	0	47	1	0.02127659574468085
1046	5555	42	1	0	0	43	1	0.023255813953488372
1047	5541	55	2	0	0	57	2	0.03508771929824561
1048	5564	53	1	0	0	54	1	0.018518518518518517
1049	5505	57	1	0	0	58	1	0.017241379310344827
105	5542	54	1	0	0	55	1	0.01818181818181818
1050	5506	47	2	0	0	49	2	0.04081632653061224
1051	5525	60	1	0	0	61	1	0.01639344262295082
1052	5549	45	2	0	0	47	2	0.0425531914893617
1053	5523	45	3	0	0	48	3	0.0625
1054	5540	48	1	0	0	49	1	0.02040816326530612
1055	5552	59	1	0	0	60	1	0.016666666666666666
1056	5531	61	2	0	0	63	2	0.031746031746031744
1057	5569	61	1	0	0	62	1	0.016129032258064516
1058	5576	56	4	0	0	60	4	0.06666666666666667
1059	5531	57	2	0	0	59	2	0.03389830508474576
106	5506	50	2	0	0	52	2	0.038461538461538464
1060	5515	70	2	0	0	72	2	0.027777777777777776
1061	5536	67	3	0	0	70	3	0.04285714285714286
1062	5584	42	1	0	0	43	1	0.023255813953488372
1063	5533	58	2	0	0	60	2	0.03333333333333333
1064	5504	43	2	0	0	45	2	0.044444444444444446
1065	5523	48	0	0	0	48	0	0
1066	5502	65	2	0	0	67	2	0.029850746268656716
1067	5537	55	1	0	0	56	1	0.017857142857142856
1068	5538	45	0	0	0	45	0	0
1069	5524	63	1	0	0	64	1	0.015625
107	5558	58	2	0	0	60	2	0.03333333333333333
1070	5538	58	1	0	0	59	1	0.01694915254237288
1071	5531	57	0	0	0	57	0	0
1072	5538	50	2	1	0	53	3	0.05660377358490566
1073	5571	54	3	0	0	57	3	0.05263157894736842
1074	5554	40	2	0	0	42	2	0.047619047619047616
1075	5535	56	2	0	0	58	2	0.034482758620689655
1076	5521	55	1	0	0	56	1	0.017857142857142856
1077	5525	57	2	0	0	59	2	0.03389830508474576
1078	5539	56	1	0	0	57	1	0.017543859649122806
1079	5566	51	1	0	0	52	1	0.019230769230769232
108	5513	54	0	0	0	54	0	0
1080	5525	56	2	0	0	58	2	0.034482758620689655
1081	5520	54	4	0	0	58	4	0.06896551724137931
1082	5546	51	0	0	0	51	0	0
1083	5518	51	1	0	0	52	1	0.019230769230769232
1084	5566	58	0	0	0	58	0	0
1085	5573	56	0	0	0	56	0	0
1086	5578	32	1	0	0	33	1	0.030303030303030304
1087	5514	58	0	0	0	58	0	0
1088	5528	59	3	0	0	62	3	0.04838709677419355
1089	5548	47	2	0	0	49	2	0.04081632653061224
109	5492	60	2	0	0	62	2	0.03225806451612903
1090	5538	56	5	0	0	61	5	0.08196721311475409
1091	5541	58	2	0	0	60	2	0.03333333333333333
1092	5529	66	3	0	0	69	3	0.043478260869565216
1093	5542	65	2	0	0	67	2	0.029850746268656716
1094	5545	59	1	0	0	60	1	0.016666666666666666
1095	5498	61	2	0	0	63	2	0.031746031746031744
1096	5547	61	3	0	0	64	3	0.046875
1097	5615	48	1	0	0	49	1	0.02040816326530612
1098	5535	52	4	0	0	56	4	0.07142857142857142
1099	5509	52	1	0	0	53	1	0.018867924528301886
11	5514	49	0	0	0	49	0	0
110	5530	62	3	0	0	65	3	0.046153846153846156
1100	5551	56	0	0	0	56	0	0
1101	5515	52	1	0	0	53	1	0.018867924528301886
1102	5524	63	1	0	0	64	1	0.015625
1103	5561	49	0	0	0	49	0	0
1104	5561	49	2	0	0	51	2	0.0392156862745098
1105	5504	51	1	0	0	52	1	0.019230769230769232
1106	5541	48	0	0	0	48	0	0
1107	5540	51	2	0	0	53	2	0.03773584905660377
1108	5513	57	6	0	0	63	6	0.09523809523809523
1109	5553	47	4	0	0	51	4	0.0784313725490196
111	5535	57	0	0	0	57	0	0
1110	5507	60	1	0	0	61	1	0.01639344262295082
1111	5516	67	3	0	0	70	3	0.04285714285714286
1112	5519	73	2	0	0	75	2	0.02666666666666667
1113	5535	52	0	0	0	52	0	0
1114	5555	44	1	0	0	45	1	0.022222222222222223
1115	5512	46	3	0	0	49	3	0.061224489795918366
1116	5567	48	0	0	0	48	0	0
1117	5501	51	1	0	0	52	1	0.019230769230769232
1118	5538	52	3	0	0	55	3	0.05454545454545454
1119	5496	59	1	0	0	60	1	0.016666666666666666
112	5529	56	1	0	0	57	1	0.017543859649122806
1120	5508	46	3	0	0	49	3	0.061224489795918366
1121	5541	50	1	0	0	51	1	0.0196078431372549
1122	5526	66	0	0	0	66	0	0
1123	5546	68	3	0	0	71	3	0.04225352112676056
1124	5548	58	1	0	0	59	1	0.01694915254237288
1125	5513	58	1	0	0	59	1	0.01694915254237288
1126	5524	47	2	0	0	49	2	0.04081632653061224
1127	5552	44	2	0	0	46	2	0.043478260869565216
1128	5537	64	3	1	0	68	4	0.058823529411764705
1129	5517	68	3	0	0	71	3	0.04225352112676056
113	5558	57	0	0	0	57	0	0
1130	5538	53	2	0	0	55	2	0.03636363636363636
1131	5508	41	2	0	0	43	2	0.046511627906976744
1132	5562	58	0	0	0	58	0	0
1133	5565	62	0	0	0	62	0	0
1134	5553	67	1	0	0	68	1	0.014705882352941176
1135	5529	59	3	0	0	62	3	0.04838709677419355
1136	5563	50	0	0	0	50	0	0
1137	5527	73	2	0	0	75	2	0.02666666666666667
1138	5528	46	1	0	0	47	1	0.02127659574468085
1139	5528	65	1	0	0	66	1	0.015151515151515152
114	5507	54	1	0	0	55	1	0.01818181818181818
1140	5506	60	1	0	0	61	1	0.01639344262295082
1141	5506	50	1	0	0	51	1	0.0196078431372549
1142	5555	52	2	0	0	54	2	0.037037037037037035
1143	5532	63	2	0	0	65	2	0.03076923076923077
1144	5536	52	1	0	0	53	1	0.018867924528301886
1145	5513	57	1	0	0	58	1	0.017241379310344827
1146	5536	44	2	0	0	46	2	0.043478260869565216
1147	5555	64	1	0	0	65	1	0.015384615384615385
1148	5504	62	3	0	0	65	3	0.046153846153846156
1149	5547	52	4	0	0	56	4	0.07142857142857142
115	5541	53	0	0	0	53	0	0
1150	5563	53	1	0	0	54	1	0.018518518518518517
1151	5538	48	1	0	0	49	1	0.02040816326530612
1152	5539	51	0	0	0	51	0	0
1153	5515	46	5	0	0	51	5	0.09803921568627451
1154	5534	39	0	0	0	39	0	0
1155	5516	52	1	0	0	53	1	0.018867924528301886
1156	5506	62	2	0	0	64	2	0.03125
1157	5542	59	1	0	0	60	1	0.016666666666666666
1158	5512	61	2	0	0	63	2	0.031746031746031744
1159	5526	55	2	0	0	57	2	0.03508771929824561
116	5511	37	1	0	0	38	1	0.02631578947368421
1160	5525	57	3	0	0	60	3	0.05
1161	5521	54	3	0	0	57	3	0.05263157894736842
1162	5553	54	3	0	0	57	3	0.05263157894736842
1163	5529	43	2	0	0	45	2	0.044444444444444446
1164	5494	49	4	0	0	53	4	0.07547169811320754
1165	5496	57	3	0	0	60	3	0.05
1166	5533	58	4	0	0	62	4	0.06451612903225806
1167	5550	55	0	0	0	55	0	0
1168	5484	58	1	0	0	59	1	0.01694915254237288
1169	5571	41	2	0	0	43	2	0.046511627906976744
117	5550	44	1	0	0	45	1	0.022222222222222223
1170	5538	56	3	0	0	59	3	0.05084745762711865
1171	5534	62	2	0	0	64	2	0.03125
1172	5566	51	0	0	0	51	0	0
1173	5550	43	2	0	0	45	2	0.044444444444444446
1174	5507	63	0	0	0	63	0	0
1175	5522	62	1	0	0	63	1	0.015873015873015872
1176	5493	52	1	0	0	53	1	0.018867924528301886
1177	5508	60	2	0	0	62	2	0.03225806451612903
1178	5524	58	2	0	0	60	2	0.03333333333333333
1179	5570	46	0	0	0	46	0	0
118	5538	53	1	0	0	54	1	0.018518518518518517
1180	5504	37	0	0	0	37	0	0
1181	5504	56	0	0	0	56	0	0
1182	5569	55	2	0	0	57	2	0.03508771929824561
1183	5540	50	1	0	0	51	1	0.0196078431372549
1184	5562	53	1	0	0	54	1	0.018518518518518517
1185	5540	51	2	0	0	53	2	0.03773584905660377
1186	5545	51	4	0	0	55	4	0.07272727272727272
1187	5493	49	2	0	0	51	2	0.0392156862745098
1188	5535	50	2	0	0	52	2	0.038461538461538464
1189	5552	48	1	0	0	49	1	0.02040816326530612
119	5496	55	0	0	0	55	0	0
1190	5571	58	0	0	0	58	0	0
1191	5569	50	1	0	0	51	1	0.0196078431372549
1192	5514	46	2	0	0	48	2	0.041666666666666664
1193	5514	42	0	0	0	42	0	0
1194	5526	45	1	0	0	46	1	0.021739130434782608
1195	5557	58	6	0	0	64	6	0.09375
1196	5555	52	2	1	0	55	3	0.05454545454545454
1197	5528	57	1	0	0	58	1	0.017241379310344827
1198	5514	41	1	0	0	42	1	0.023809523809523808
1199	5506	61	0	0	0	61	0	0
12	5516	53	1	0	0	54	1	0.018518518518518517
120	5501	59	3	0	0	62	3	0.04838709677419355
1200	5542	52	0	0	0	52	0	0
1201	5557	66	3	0	0	69	3	0.043478260869565216
1202	5560	55	1	0	0	56	1	0.017857142857142856
1203	5571	55	1	0	0	56	1	0.017857142857142856
1204	5544	52	2	0	0	54	2	0.037037037037037035
1205	5529	56	2	0	0	58	2	0.034482758620689655
1206	5568	62	2	0	0	64	2	0.03125
1207	5521	54	1	0	0	55	1	0.01818181818181818
1208	5571	58	2	0	0	60	2	0.03333333333333333
1209	5537	47	2	0	0	49	2	0.04081632653061224
121	5541	67	1	0	0	68	1	0.014705882352941176
1210	5564	65	2	1	0	68	3	0.04411764705882353
1211	5540	54	2	0	0	56	2	0.03571428571428571
1212	5555	51	1	1	0	53	2	0.03773584905660377
1213	5532	57	0	0	0	57	0	0
1214	5534	52	2	0	0	54	2	0.037037037037037035
1215	5531	63	2	0	0	65	2	0.03076923076923077
1216	5569	50	4	0	0	54	4	0.07407407407407407
1217	5531	54	0	0	0	54	0	0
1218	5530	58	2	0	0	60	2	0.03333333333333333
1219	5540	53	2	0	0	55	2	0.03636363636363636
122	5541	62	4	0	0	66	4	0.06060606060606061
1220	5474	52	0	0	0	52	0	0
1221	5557	51	2	0	0	53	2	0.03773584905660377
1222	5556	61	4	0	0	65	4	0.06153846153846154
1223	5540	57	2	0	0	59	2	0.03389830508474576
1224	5532	51	1	0	0	52	1	0.019230769230769232
1225	5554	56	0	0	0	56	0	0
1226	5493	63	3	0	0	66	3	0.045454545454545456
1227	5580	50	4	0	0	54	4	0.07407407407407407
1228	5548	45	2	0	0	47	2	0.0425531914893617
1229	5557	49	1	0	0	50	1	0.02
123	5489	49	3	0	0	52	3	0.057692307692307696
1230	5529	48	1	0	0	49	1	0.02040816326530612
1231	5539	50	2	0	0	52	2	0.038461538461538464
1232	5550	47	3	0	0	50	3	0.06
1233	5503	44	1	0	0	45	1	0.022222222222222223
1234	5524	53	3	0	0	56	3	0.05357142857142857
1235	5555	54	2	0	0	56	2	0.03571428571428571
1236	5501	63	1	0	0	64	1	0.015625
1237	5532	49	2	0	0	51	2	0.0392156862745098
1238	5538	58	2	0	0	60	2	0.03333333333333333
1239	5538	52	2	0	0	54	2	0.037037037037037035
124	5523	54	2	1	0	57	3	0.05263157894736842
1240	5543	58	0	0	0	58	0	0
1241	5535	46	1	0	0	47	1	0.02127659574468085
1242	5537	50	2	0	0	52	2	0.038461538461538464
1243	5521	56	0	0	0	56	0	0
1244	5541	47	0	0	0	47	0	0
1245	5539	53	0	0	0	53	0	0
1246	5536	51	1	0	0	52	1	0.019230769230769232
1247	5550	54	1	0	0	55	1	0.01818181818181818
1248	5519	58	2	0	0	60	2	0.03333333333333333
1249	5542	54	0	0	0	54	0	0
125	5508	52	1	0	0	53	1	0.018867924528301886
1250	5526	54	2	0	0	56	2	0.03571428571428571
1251	5550	69	0	0	0	69	0	0
1252	5540	63	4	0	0	67	4	0.05970149253731343
1253	5521	50	3	0	0	53	3	0.05660377358490566
1254	5522	46	1	0	0	47	1	0.02127659574468085
1255	5522	51	1	0	0	52	1	0.019230769230769232
1256	5526	55	1	1	0	57	2	0.03508771929824561
1257	5545	44	2	0	0	46	2	0.043478260869565216
1258	5525	48	1	0	0	49	1	0.02040816326530612
1259	5504	67	2	0	0	69	2	0.028985507246376812
126	5557	53	1	0	0	54	1	0.018518518518518517
1260	5476	41	2	0	0	43	2	0.046511627906976744
1261	5536	60	0	0	0	60	0	0
1262	5517	47	3	0	0	50	3	0.06
1263	5525	51	1	0	0	52	1	0.019230769230769232
1264	5526	51	2	0	0	53	2	0.03773584905660377
1265	5508	58	3	0	0	61	3	0.04918032786885246
1266	5539	53	4	0	0	57	4	0.07017543859649122
1267	5542	57	1	0	0	58	1	0.017241379310344827
1268	5528	47	0	0	0	47	0	0
1269	5534	58	3	0	0	61	3	0.04918032786885246
127	5517	41	4	0	0	45	4	0.08888888888888889
1270	5505	49	2	0	0	51	2	0.0392156862745098
1271	5522	58	1	0	0	59	1	0.01694915254237288
1272	5551	57	0	0	0	57	0	0
1273	5526	69	6	0	0	75	6	0.08
1274	5492	59	2	0	0	61	2	0.03278688524590164
1275	5499	49	1	0	0	50	1	0.02
1276	5492	62	0	0	0	62	0	0
1277	5545	47	1	0	0	48	1	0.020833333333333332
1278	5541	51	1	0	0	52	1	0.019230769230769232
1279	5537	60	3	0	0	63	3	0.047619047619047616
128	5525	61	2	0	0	63	2	0.031746031746031744
1280	5532	64	2	0	0	66	2	0.030303030303030304
1281	5583	54	2	0	0	56	2	0.03571428571428571
1282	5554	42	2	0	0	44	2	0.045454545454545456
1283	5504	53	0	1	0	54	1	0.018518518518518517
1284	5533	57	1	0	0	58	1	0.017241379310344827
1285	5546	61	3	0	0	64	3	0.046875
1286	5537	59	1	0	0	60	1	0.016666666666666666
1287	5522	43	5	0	0	48	5	0.10416666666666667
1288	5507	54	0	0	0	54	0	0
1289	5533	57	1	0	0	58	1	0.017241379310344827
129	5549	50	0	0	0	50	0	0
1290	5524	55	0	0	0	55	0	0
1291	5576	59	0	0	0	59	0	0
1292	5473	51	1	0	0	52	1	0.019230769230769232
1293	5540	46	1	0	0	47	1	0.02127659574468085
1294	5538	54	0	0	0	54	0	0
1295	5558	61	0	0	0	61	0	0
1296	5521	47	0	0	0	47	0	0
1297	5566	49	2	0	0	51	2	0.0392156862745098
1298	5563	55	2	0	0	57	2	0.03508771929824561
1299	5524	51	1	0	0	52	1	0.019230769230769232
13	5551	52	1	0	0	53	1	0.018867924528301886
130	5561	59	0	0	0	59	0	0
1300	5547	60	3	0	0	63	3	0.047619047619047616
1301	5531	51	2	0	0	53	2	0.03773584905660377
1302	5530	53	4	0	0	57	4	0.07017543859649122
1303	5569	56	3	0	0	59	3	0.05084745762711865
1304	5573	37	1	0	0	38	1	0.02631578947368421
1305	5530	54	4	0	0	58	4	0.06896551724137931
1306	5537	62	1	0	0	63	1	0.015873015873015872
1307	5524	45	2	0	0	47	2	0.0425531914893617
1308	5541	57	2	0	0	59	2	0.03389830508474576
1309	5532	45	2	0	0	47	2	0.0425531914893617
131	5584	55	1	0	0	56	1	0.017857142857142856
1310	5531	57	2	0	0	59	2	0.03389830508474576
1311	5564	58	4	0	0	62	4	0.06451612903225806
1312	5567	49	0	1	0	50	1	0.02
1313	5550	40	0	0	0	40	0	0
1314	5537	55	3	0	0	58	3	0.05172413793103448
1315	5506	61	2	0	0	63	2	0.031746031746031744
1316	5533	47	1	0	0	48	1	0.020833333333333332
1317	5558	53	5	0	0	58	5	0.08620689655172414
1318	5545	47	2	0	0	49	2	0.04081632653061224
1319	5547	62	2	0	0	64	2	0.03125
132	5539	49	4	0	0	53	4	0.07547169811320754
1320	5525	45	0	0	0	45	0	0
1321	5490	62	1	0	0	63	1	0.015873015873015872
1322	5520	48	4	0	0	52	4	0.07692307692307693
1323	5536	51	4	0	0	55	4	0.07272727272727272
1324	5521	56	0	0	0	56	0	0
1325	5473	62	3	0	0	65	3	0.046153846153846156
1326	5497	50	0	0	0	50	0	0
1327	5544	58	1	0	0	59	1	0.01694915254237288
1328	5530	63	2	0	0	65	2	0.03076923076923077
1329	5507	66	0	0	0	66	0	0
133	5536	68	2	0	0	70	2	0.02857142857142857
1330	5580	63	1	0	0	64	1	0.015625
1331	5514	61	1	0	0	62	1	0.016129032258064516
1332	5525	52	0	0	0	52	0	0
1333	5532	53	0	0	0	53	0	0
1334	5542	56	1	0	0	57	1	0.017543859649122806
1335	5550	51	2	0	0	53	2	0.03773584905660377
1336	5557	54	2	0	0	56	2	0.03571428571428571
1337	5521	44	5	0	0	49	5	0.10204081632653061
1338	5531	52	0	0	0	52	0	0
1339	5549	40	3	0	0	43	3	0.06976744186046512
134	5494	62	2	0	0	64	2	0.03125
1340	5539	49	3	0	0	52	3	0.057692307692307696
1341	5515	57	3	0	0	60	3	0.05
1342	5507	51	5	0	0	56	5	0.08928571428571429
1343	5563	52	0	0	0	52	0	0
1344	5547	48	0	0	0	48	0	0
1345	5531	66	2	0	0	68	2	0.029411764705882353
1346	5535	53	1	0	0	54	1	0.018518518518518517
1347	5553	49	0	0	0	49	0	0
1348	5517	55	1	0	0	56	1	0.017857142857142856
1349	5517	50	1	0	0	51	1	0.0196078431372549
135	5535	59	0	0	0	59	0	0
1350	5524	58	2	0	0	60	2	0.03333333333333333
1351	5531	49	0	0	0	49	0	0
1352	5537	57	1	0	0	58	1	0.017241379310344827
1353	5557	54	1	0	0	55	1	0.01818181818181818
1354	5531	46	0	0	0	46	0	0
1355	5563	46	2	0	0	48	2	0.041666666666666664
1356	5530	59	3	0	0	62	3	0.04838709677419355
1357	5551	58	2	0	0	60	2	0.03333333333333333
1358	5547	48	1	0	0	49	1	0.02040816326530612
1359	5547	53	1	0	0	54	1	0.018518518518518517
136	5518	58	0	0	0	58	0	0
1360	5504	77	2	0	0	79	2	0.02531645569620253
1361	5541	60	2	0	0	62	2	0.03225806451612903
1362	5575	56	1	0	0	57	1	0.017543859649122806
1363	5579	60	1	0	0	61	1	0.01639344262295082
1364	5538	55	3	0	0	58	3	0.05172413793103448
1365	5576	47	2	0	0	49	2	0.04081632653061224
1366	5536	55	1	0	0	56	1	0.017857142857142856
1367	5506	51	2	0	0	53	2	0.03773584905660377
1368	5534	56	4	1	0	61	5	0.08196721311475409
1369	5533	52	3	0	0	55	3	0.05454545454545454
137	5565	43	0	0	0	43	0	0
1370	5525	61	0	0	0	61	0	0
1371	5541	50	0	0	0	50	0	0
1372	5556	46	2	0	0	48	2	0.041666666666666664
1373	5559	47	0	0	0	47	0	0
1374	5508	53	2	0	0	55	2	0.03636363636363636
1375	5518	34	4	0	0	38	4	0.10526315789473684
1376	5540	54	2	0	0	56	2	0.03571428571428571
1377	5563	48	3	0	0	51	3	0.058823529411764705
1378	5548	67	2	0	0	69	2	0.028985507246376812
1379	5508	62	3	0	0	65	3	0.046153846153846156
138	5523	65	3	0	0	68	3	0.04411764705882353
1380	5526	50	0	0	0	50	0	0
1381	5574	58	4	0	0	62	4	0.06451612903225806
1382	5547	64	1	0	0	65	1	0.015384615384615385
1383	5508	53	0	0	0	53	0	0
1384	5562	62	1	0	0	63	1	0.015873015873015872
1385	5528	55	4	0	0	59	4	0.06779661016949153
1386	5519	58	2	0	0	60	2	0.03333333333333333
1387	5544	54	2	0	0	56	2	0.03571428571428571
1388	5558	53	1	0	0	54	1	0.018518518518518517
1389	5515	55	1	0	0	56	1	0.017857142857142856
139	5512	48	0	0	0	48	0	0
1390	5521	43	1	0	0	44	1	0.022727272727272728
1391	5521	53	1	0	0	54	1	0.018518518518518517
1392	5534	53	2	0	0	55	2	0.03636363636363636
1393	5509	52	6	0	0	58	6	0.10344827586206896
1394	5523	63	1	0	0	64	1	0.015625
1395	5539	50	2	0	0	52	2	0.038461538461538464
1396	5491	54	2	0	0	56	2	0.03571428571428571
1397	5514	55	1	1	0	57	2	0.03508771929824561
1398	5528	54	2	0	0	56	2	0.03571428571428571
1399	5557	64	2	0	0	66	2	0.030303030303030304
14	5497	62	0	0	0	62	0	0
140	5535	52	1	0	0	53	1	0.018867924528301886
1400	5575	57	3	0	0	60	3	0.05
1401	5517	75	6	0	0	81	6	0.07407407407407407
1402	5528	57	0	0	0	57	0	0
1403	5548	43	2	1	0	46	3	0.06521739130434782
1404	5528	30	1	0	0	31	1	0.03225806451612903
1405	5521	49	2	0	0	51	2	0.0392156862745098
1406	5559	45	0	0	0	45	0	0
1407	5564	52	3	0	0	55	3	0.05454545454545454
1408	5519	50	0	0	0	50	0	0
1409	5559	45	3	0	0	48	3	0.0625
141	5544	60	1	0	0	61	1	0.01639344262295082
1410	5542	45	0	0	0	45	0	0
1411	5563	42	1	0	0	43	1	0.023255813953488372
1412	5545	70	1	0	0	71	1	0.014084507042253521
1413	5597	59	2	0	0	61	2	0.03278688524590164
1414	5540	50	1	0	0	51	1	0.0196078431372549
1415	5476	69	1	0	0	70	1	0.014285714285714285
1416	5514	70	0	1	0	71	1	0.014084507042253521
1417	5527	47	0	0	0	47	0	0
1418	5508	56	4	0	0	60	4	0.06666666666666667
1419	5541	53	3	0	0	56	3	0.05357142857142857
142	5484	46	3	0	0	49	3	0.061224489795918366
1420	5528	47	2	0	0	49	2	0.04081632653061224
1421	5520	55	1	0	0	56	1	0.017857142857142856
1422	5549	62	2	0	0	64	2	0.03125
1423	5548	63	2	0	0	65	2	0.03076923076923077
1424	5541	49	2	0	0	51	2	0.0392156862745098
1425	5537	61	1	0	0	62	1	0.016129032258064516
1426	5540	62	4	0	0	66	4	0.06060606060606061
1427	5552	63	2	0	0	65	2	0.03076923076923077
1428	5543	49	4	0	0	53	4	0.07547169811320754
1429	5559	50	2	0	0	52	2	0.038461538461538464
143	5503	66	1	0	0	67	1	0.014925373134328358
1430	5554	59	2	0	0	61	2	0.03278688524590164
1431	5532	50	1	0	0	51	1	0.0196078431372549
1432	5557	61	0	0	0	61	0	0
1433	5533	59	4	0	0	63	4	0.06349206349206349
1434	5543	46	1	0	0	47	1	0.02127659574468085
1435	5509	44	2	0	0	46	2	0.043478260869565216
1436	5526	49	5	0	0	54	5	0.09259259259259259
1437	5547	52	5	0	0	57	5	0.08771929824561403
1438	5483	50	2	0	0	52	2	0.038461538461538464
1439	5536	45	1	0	0	46	1	0.021739130434782608
144	5554	57	2	0	0	59	2	0.03389830508474576
1440	5547	52	1	0	0	53	1	0.018867924528301886
1441	5477	42	1	0	0	43	1	0.023255813953488372
1442	5525	59	1	0	0	60	1	0.016666666666666666
1443	5553	53	1	0	0	54	1	0.018518518518518517
1444	5516	46	2	0	0	48	2	0.041666666666666664
1445	5518	39	1	0	0	40	1	0.025
1446	5549	48	1	0	0	49	1	0.02040816326530612
1447	5555	55	1	0	0	56	1	0.017857142857142856
